year,electorate,party,ordinary_special,before_onday,local_overseas,votes
2014,Christchurch Central,The Civilian Party,ordinary,advanced,local,4
2014,Christchurch Central,The Civilian Party,special,advanced,local,0
2014,Christchurch Central,The Civilian Party,special,normal,local,10
2014,Christchurch Central,The Civilian Party,special,advanced,overseas,1
2014,Christchurch Central,United Future,ordinary,normal,local,54
2014,Christchurch Central,United Future,ordinary,advanced,local,12
2014,Christchurch Central,United Future,special,advanced,local,1
2014,Christchurch Central,United Future,special,normal,local,12
2014,Christchurch Central,United Future,special,advanced,overseas,0
2014,Christchurch East,ACT,ordinary,normal,local,63
2014,Christchurch East,ACT,ordinary,advanced,local,30
2014,Christchurch East,ACT,special,advanced,local,6
2014,Christchurch East,ACT,special,normal,local,6
2014,Christchurch East,ACT,special,advanced,overseas,2
2014,Christchurch East,Aotearoa Legalise Cannabis Party,ordinary,normal,local,119
2014,Christchurch East,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,22
2014,Christchurch East,Aotearoa Legalise Cannabis Party,special,advanced,local,10
2014,Christchurch East,Aotearoa Legalise Cannabis Party,special,normal,local,35
2014,Christchurch East,Aotearoa Legalise Cannabis Party,special,advanced,overseas,0
2014,Christchurch East,Ban1080,ordinary,normal,local,23
2014,Christchurch East,Ban1080,ordinary,advanced,local,6
2014,Christchurch East,Ban1080,special,advanced,local,2
2014,Christchurch East,Ban1080,special,normal,local,7
2014,Christchurch East,Ban1080,special,advanced,overseas,0
2014,Christchurch East,Conservative,ordinary,normal,local,622
2014,Christchurch East,Conservative,ordinary,advanced,local,324
2014,Christchurch East,Conservative,special,advanced,local,23
2014,Christchurch East,Conservative,special,normal,local,82
2014,Christchurch East,Conservative,special,advanced,overseas,7
2014,Christchurch East,Democrats for Social Credit,ordinary,normal,local,12
2014,Christchurch East,Democrats for Social Credit,ordinary,advanced,local,7
2014,Christchurch East,Democrats for Social Credit,special,advanced,local,0
2014,Christchurch East,Democrats for Social Credit,special,normal,local,1
2014,Christchurch East,Democrats for Social Credit,special,advanced,overseas,0
2014,Christchurch East,Focus NZ,ordinary,normal,local,0
2014,Christchurch East,Focus NZ,ordinary,advanced,local,1
2014,Christchurch East,Focus NZ,special,advanced,local,0
2014,Christchurch East,Focus NZ,special,normal,local,0
2014,Christchurch East,Focus NZ,special,advanced,overseas,0
2014,Christchurch East,Green Party,ordinary,normal,local,2285
2014,Christchurch East,Green Party,ordinary,advanced,local,1153
2014,Christchurch East,Green Party,special,advanced,local,134
2014,Christchurch East,Green Party,special,normal,local,430
2014,Christchurch East,Green Party,special,advanced,overseas,111
2014,Christchurch East,Internet MANA,ordinary,normal,local,147
2014,Christchurch East,Internet MANA,ordinary,advanced,local,82
2014,Christchurch East,Internet MANA,special,advanced,local,20
2014,Christchurch East,Internet MANA,special,normal,local,33
2014,Christchurch East,Internet MANA,special,advanced,overseas,4
2014,Christchurch East,Labour Party,ordinary,normal,local,5951
2014,Christchurch East,Labour Party,ordinary,advanced,local,3157
2014,Christchurch East,Labour Party,special,advanced,local,332
2014,Christchurch East,Labour Party,special,normal,local,926
2014,Christchurch East,Labour Party,special,advanced,overseas,84
2014,Christchurch East,Maori Party,ordinary,normal,local,67
2014,Christchurch East,Maori Party,ordinary,advanced,local,25
2014,Christchurch East,Maori Party,special,advanced,local,6
2014,Christchurch East,Maori Party,special,normal,local,31
2014,Christchurch East,Maori Party,special,advanced,overseas,0
2014,Christchurch East,National Party,ordinary,normal,local,7935
2014,Christchurch East,National Party,ordinary,advanced,local,3627
2014,Christchurch East,National Party,special,advanced,local,314
2014,Christchurch East,National Party,special,normal,local,936
2014,Christchurch East,National Party,special,advanced,overseas,116
2014,Christchurch East,NZ First,ordinary,normal,local,1796
2014,Christchurch East,NZ First,ordinary,advanced,local,936
2014,Christchurch East,NZ First,special,advanced,local,76
2014,Christchurch East,NZ First,special,normal,local,252
2014,Christchurch East,NZ First,special,advanced,overseas,9
2014,Christchurch East,NZ Independent Coalition,ordinary,normal,local,10
2014,Christchurch East,NZ Independent Coalition,ordinary,advanced,local,1
2014,Christchurch East,NZ Independent Coalition,special,advanced,local,0
2014,Christchurch East,NZ Independent Coalition,special,normal,local,0
2014,Christchurch East,NZ Independent Coalition,special,advanced,overseas,0
2014,Christchurch East,The Civilian Party,ordinary,normal,local,15
2014,Christchurch East,The Civilian Party,ordinary,advanced,local,2
2014,Christchurch East,The Civilian Party,special,advanced,local,0
2014,Christchurch East,The Civilian Party,special,normal,local,2
2014,Christchurch East,The Civilian Party,special,advanced,overseas,0
2014,Christchurch East,United Future,ordinary,normal,local,44
2014,Christchurch East,United Future,ordinary,advanced,local,22
2014,Christchurch East,United Future,special,advanced,local,0
2014,Christchurch East,United Future,special,normal,local,8
2014,Christchurch East,United Future,special,advanced,overseas,0
2014,Clutha-Southland,ACT,ordinary,normal,local,84
2014,Clutha-Southland,ACT,ordinary,advanced,local,27
2014,Clutha-Southland,ACT,special,advanced,local,1
2014,Clutha-Southland,ACT,special,normal,local,8
2014,Clutha-Southland,ACT,special,advanced,overseas,2
2014,Clutha-Southland,Aotearoa Legalise Cannabis Party,ordinary,normal,local,127
2014,Clutha-Southland,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,33
2014,Clutha-Southland,Aotearoa Legalise Cannabis Party,special,advanced,local,7
2014,Clutha-Southland,Aotearoa Legalise Cannabis Party,special,normal,local,17
2014,Clutha-Southland,Aotearoa Legalise Cannabis Party,special,advanced,overseas,0
2014,Clutha-Southland,Ban1080,ordinary,normal,local,189
2014,Clutha-Southland,Ban1080,ordinary,advanced,local,44
2014,Clutha-Southland,Ban1080,special,advanced,local,7
2014,Clutha-Southland,Ban1080,special,normal,local,26
2014,Clutha-Southland,Ban1080,special,advanced,overseas,2
2014,Clutha-Southland,Conservative,ordinary,normal,local,1202
2014,Clutha-Southland,Conservative,ordinary,advanced,local,410
2014,Clutha-Southland,Conservative,special,advanced,local,26
2014,Clutha-Southland,Conservative,special,normal,local,81
2014,Clutha-Southland,Conservative,special,advanced,overseas,7
2014,Clutha-Southland,Democrats for Social Credit,ordinary,normal,local,19
2014,Clutha-Southland,Democrats for Social Credit,ordinary,advanced,local,12
2014,Clutha-Southland,Democrats for Social Credit,special,advanced,local,1
2014,Clutha-Southland,Democrats for Social Credit,special,normal,local,3
2014,Clutha-Southland,Democrats for Social Credit,special,advanced,overseas,1
2014,Clutha-Southland,Focus NZ,ordinary,normal,local,0
2014,Clutha-Southland,Focus NZ,ordinary,advanced,local,0
2014,Clutha-Southland,Focus NZ,special,advanced,local,0
2014,Clutha-Southland,Focus NZ,special,normal,local,0
2014,Clutha-Southland,Focus NZ,special,advanced,overseas,0
2014,Clutha-Southland,Green Party,ordinary,normal,local,1475
2014,Clutha-Southland,Green Party,ordinary,advanced,local,680
2014,Clutha-Southland,Green Party,special,advanced,local,101
2014,Clutha-Southland,Green Party,special,normal,local,314
2014,Clutha-Southland,Green Party,special,advanced,overseas,77
2014,Clutha-Southland,Internet MANA,ordinary,normal,local,75
2014,Clutha-Southland,Internet MANA,ordinary,advanced,local,34
2014,Clutha-Southland,Internet MANA,special,advanced,local,11
2014,Clutha-Southland,Internet MANA,special,normal,local,31
2014,Clutha-Southland,Internet MANA,special,advanced,overseas,7
2014,Clutha-Southland,Labour Party,ordinary,normal,local,3345
2014,Clutha-Southland,Labour Party,ordinary,advanced,local,1179
2014,Clutha-Southland,Labour Party,special,advanced,local,117
2014,Clutha-Southland,Labour Party,special,normal,local,361
2014,Clutha-Southland,Labour Party,special,advanced,overseas,34
2014,Clutha-Southland,Maori Party,ordinary,normal,local,74
2014,Clutha-Southland,Maori Party,ordinary,advanced,local,25
2014,Clutha-Southland,Maori Party,special,advanced,local,0
2014,Clutha-Southland,Maori Party,special,normal,local,13
2014,Clutha-Southland,Maori Party,special,advanced,overseas,1
2014,Clutha-Southland,National Party,ordinary,normal,local,13955
2014,Clutha-Southland,National Party,ordinary,advanced,local,5739
2014,Clutha-Southland,National Party,special,advanced,local,394
2014,Clutha-Southland,National Party,special,normal,local,1377
2014,Clutha-Southland,National Party,special,advanced,overseas,229
2014,Clutha-Southland,NZ First,ordinary,normal,local,1451
2014,Clutha-Southland,NZ First,ordinary,advanced,local,482
2014,Clutha-Southland,NZ First,special,advanced,local,42
2014,Clutha-Southland,NZ First,special,normal,local,157
2014,Clutha-Southland,NZ First,special,advanced,overseas,3
2014,Clutha-Southland,NZ Independent Coalition,ordinary,normal,local,21
2014,Clutha-Southland,NZ Independent Coalition,ordinary,advanced,local,9
2014,Clutha-Southland,NZ Independent Coalition,special,advanced,local,0
2014,Clutha-Southland,NZ Independent Coalition,special,normal,local,2
2014,Clutha-Southland,NZ Independent Coalition,special,advanced,overseas,0
2014,Clutha-Southland,The Civilian Party,ordinary,normal,local,7
2014,Clutha-Southland,The Civilian Party,ordinary,advanced,local,3
2014,Clutha-Southland,The Civilian Party,special,advanced,local,0
2014,Clutha-Southland,The Civilian Party,special,normal,local,0
2014,Clutha-Southland,The Civilian Party,special,advanced,overseas,0
2014,Clutha-Southland,United Future,ordinary,normal,local,47
2014,Clutha-Southland,United Future,ordinary,advanced,local,11
2014,Clutha-Southland,United Future,special,advanced,local,5
2014,Clutha-Southland,United Future,special,normal,local,4
2014,Clutha-Southland,United Future,special,advanced,overseas,1
2014,Coromandel,ACT,ordinary,normal,local,83
2014,Coromandel,ACT,ordinary,advanced,local,43
2014,Coromandel,ACT,special,advanced,local,6
2014,Coromandel,ACT,special,normal,local,9
2014,Coromandel,ACT,special,advanced,overseas,1
2014,Coromandel,Aotearoa Legalise Cannabis Party,ordinary,normal,local,98
2014,Coromandel,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,24
2014,Coromandel,Aotearoa Legalise Cannabis Party,special,advanced,local,6
2014,Coromandel,Aotearoa Legalise Cannabis Party,special,normal,local,11
2014,Coromandel,Aotearoa Legalise Cannabis Party,special,advanced,overseas,0
2014,Coromandel,Ban1080,ordinary,normal,local,68
2014,Coromandel,Ban1080,ordinary,advanced,local,32
2014,Coromandel,Ban1080,special,advanced,local,4
2014,Coromandel,Ban1080,special,normal,local,8
2014,Coromandel,Ban1080,special,advanced,overseas,0
2014,Coromandel,Conservative,ordinary,normal,local,1133
2014,Coromandel,Conservative,ordinary,advanced,local,708
2014,Coromandel,Conservative,special,advanced,local,48
2014,Coromandel,Conservative,special,normal,local,97
2014,Coromandel,Conservative,special,advanced,overseas,18
2014,Coromandel,Democrats for Social Credit,ordinary,normal,local,9
2014,Coromandel,Democrats for Social Credit,ordinary,advanced,local,8
2014,Coromandel,Democrats for Social Credit,special,advanced,local,1
2014,Coromandel,Democrats for Social Credit,special,normal,local,0
2014,Coromandel,Democrats for Social Credit,special,advanced,overseas,2
2014,Coromandel,Focus NZ,ordinary,normal,local,2
2014,Coromandel,Focus NZ,ordinary,advanced,local,4
2014,Coromandel,Focus NZ,special,advanced,local,0
2014,Coromandel,Focus NZ,special,normal,local,1
2014,Coromandel,Focus NZ,special,advanced,overseas,0
2014,Coromandel,Green Party,ordinary,normal,local,2059
